Designator,Mid X,Mid Y,Rotation,Layer
D1,149.86,-73.66,90.0,top
D10,149.86,-81.28,270.0,top
D11,152.4,-81.28,270.0,top
D12,154.94,-81.28,270.0,top
D13,157.48,-81.28,270.0,top
D14,160.02,-81.28,270.0,top
D15,162.56,-81.28,270.0,top
D16,165.1,-81.28,270.0,top
D17,167.64,-81.28,270.0,top
D18,170.18,-81.28,270.0,top
D2,152.4,-73.66,90.0,top
D3,154.94,-73.66,90.0,top
D4,157.48,-73.66,90.0,top
D5,160.02,-73.66,90.0,top
D6,162.56,-73.66,90.0,top
D7,165.1,-73.66,90.0,top
D8,167.64,-73.66,90.0,top
D9,170.18,-73.66,90.0,top
J1,160.01,-68.58,270.0,bottom
J2,160.01,-86.36,270.0,bottom
J3,143.515,-68.58,270.0,bottom
Q1,142.24,-73.66,90.0,bottom
Q10,142.24,-81.28,270.0,bottom
Q11,145.7325,-81.28,270.0,bottom
Q12,149.225,-81.28,270.0,bottom
Q13,152.7175,-81.28,270.0,bottom
Q14,156.21,-81.28,270.0,bottom
Q15,159.7025,-81.28,270.0,bottom
Q16,163.195,-81.28,270.0,bottom
Q17,166.6875,-81.28,270.0,bottom
Q18,170.18,-81.28,270.0,bottom
Q2,145.7325,-73.66,90.0,bottom
Q3,149.225,-73.66,90.0,bottom
Q4,152.7175,-73.66,90.0,bottom
Q5,156.21,-73.66,90.0,bottom
Q6,159.7025,-73.66,90.0,bottom
Q7,163.195,-73.66,90.0,bottom
Q8,166.6875,-73.66,90.0,bottom
Q9,170.18,-73.66,90.0,bottom
R1,149.86,-71.12,0.0,top
R10,142.24,-71.12,180.0,bottom
R11,145.7325,-71.12,180.0,bottom
R12,149.225,-71.12,180.0,bottom
R13,152.7175,-71.12,180.0,bottom
R14,156.21,-71.12,180.0,bottom
R15,159.7025,-71.12,180.0,bottom
R16,163.195,-71.12,180.0,bottom
R17,166.6875,-71.12,180.0,bottom
R18,170.18,-71.12,180.0,bottom
R19,149.86,-83.82,0.0,top
R2,152.4,-71.12,0.0,top
R20,152.4,-83.82,0.0,top
R21,154.94,-83.82,0.0,top
R22,157.48,-83.82,0.0,top
R23,160.02,-83.82,0.0,top
R24,162.56,-83.82,0.0,top
R25,165.1,-83.82,0.0,top
R26,167.64,-83.82,0.0,top
R27,170.18,-83.7565,0.0,top
R28,142.24,-83.7565,0.0,bottom
R29,145.7325,-83.7565,0.0,bottom
R3,154.94,-71.12,0.0,top
R30,149.225,-83.7565,0.0,bottom
R31,152.7175,-83.7565,0.0,bottom
R32,156.21,-83.7565,0.0,bottom
R33,159.7025,-83.7565,0.0,bottom
R34,163.195,-83.7565,0.0,bottom
R35,166.6875,-83.7565,0.0,bottom
R36,170.18,-83.7565,0.0,bottom
R4,157.48,-71.12,0.0,top
R5,160.02,-71.12,0.0,top
R6,162.56,-71.12,0.0,top
R7,165.1,-71.12,0.0,top
R8,167.64,-71.12,0.0,top
R9,170.18,-71.12,0.0,top
